cache_invalidation_method_compress,cache_invalidation_method_decompress,page_number,iteration_number,compressed_size,uncompressed_size,compression_time,decompression_time
1,0,255,0,4084,4096,187612,35459
1,0,256,0,4102,4096,186952,35056
1,0,257,0,4088,4096,186584,35529
1,0,258,0,4085,4096,202866,35770
1,0,259,0,4095,4096,187293,35005
1,0,260,0,4081,4096,185698,34695
1,0,261,0,4095,4096,186918,35124
1,0,262,0,4095,4096,185810,34303
1,0,263,0,4093,4096,186738,34693
1,0,264,0,4087,4096,185586,35481
1,0,265,0,434,4096,148960,25774
1,0,266,0,4092,4096,189755,35747
1,0,267,0,4077,4096,186980,35057
1,0,268,0,4093,4096,186302,34417
1,0,269,0,4086,4096,188397,34969
1,0,270,0,4076,4096,187692,35025
1,0,271,0,4084,4096,187276,34427
1,0,272,0,4093,4096,186218,34683
1,0,273,0,4090,4096,187132,34986
1,0,274,0,4080,4096,185297,42903
1,0,275,0,3942,4096,199809,37446
1,0,276,0,4098,4096,185772,34302
1,0,277,0,4089,4096,185898,35273
1,0,278,0,4091,4096,186004,36222
1,0,279,0,4089,4096,186156,34811
1,0,280,0,4080,4096,187255,34865
1,0,281,0,4084,4096,186316,34767
1,0,282,0,4089,4096,188399,35406
1,0,283,0,4063,4096,187670,35307
1,0,284,0,4104,4096,210409,37088
1,0,285,0,4085,4096,199262,37878
1,0,286,0,4082,4096,199048,38615
1,0,287,0,4093,4096,200000,37832
1,0,288,0,4082,4096,200147,37367
1,0,289,0,4084,4096,203479,35114
1,0,290,0,4094,4096,185506,45082
1,0,291,0,4078,4096,185615,34965
1,0,292,0,4105,4096,185390,34943
1,0,293,0,832,4096,203833,28592
1,0,294,0,4083,4096,187062,36310
1,0,295,0,425,4096,151475,17601
1,0,296,0,4092,4096,187002,35679
1,0,297,0,4080,4096,186955,35428
1,0,298,0,4079,4096,186811,35383
1,0,299,0,611,4096,199730,19574
1,0,300,0,4092,4096,189569,35997
1,0,301,0,4070,4096,186227,35236
1,0,302,0,1124,4096,149354,26812
1,0,303,0,4089,4096,186330,35111
1,0,304,0,4093,4096,186816,34729
1,0,305,0,4098,4096,186587,35046
1,0,306,0,2968,4096,176688,34567
1,0,307,0,4085,4096,187309,45320
1,0,308,0,4099,4096,187748,34920
1,0,309,0,4086,4096,185693,35041
1,0,310,0,4079,4096,213673,37876
1,0,311,0,4072,4096,207287,38383
1,0,312,0,4084,4096,199094,37296
1,0,313,0,4088,4096,201212,38568
1,0,314,0,4083,4096,198551,37688
1,0,315,0,4098,4096,201143,46404
1,0,316,0,4090,4096,185662,34871
1,0,317,0,4097,4096,188388,35043
1,0,318,0,3886,4096,191954,37112
1,0,319,0,4090,4096,188037,35568
1,0,320,0,4086,4096,187929,35616
1,0,321,0,4101,4096,186920,34531
1,0,322,0,4086,4096,187855,35593
1,0,323,0,4084,4096,187751,35728
1,0,324,0,605,4096,195225,19472
1,0,325,0,4095,4096,188211,35944
1,0,326,0,4088,4096,187313,35137
1,0,327,0,4161,4096,186916,44732
1,0,328,0,4067,4096,188168,36274
1,0,329,0,4159,4096,185603,33397
1,0,330,0,4072,4096,188525,36427
1,0,331,0,4080,4096,185808,34883
1,0,332,0,4096,4096,187768,35245
1,0,333,0,4090,4096,187610,34735
1,0,334,0,4077,4096,188580,35528
1,0,335,0,4038,4096,188799,36802
1,0,336,0,4089,4096,187538,34862
1,0,337,0,4085,4096,187850,35124
1,0,338,0,4093,4096,185474,34272
1,0,339,0,4080,4096,185909,35332
1,0,340,0,4082,4096,187135,35054
1,0,341,0,4084,4096,207438,38235
1,0,342,0,4090,4096,198396,37655
1,0,343,0,4098,4096,200147,40262
1,0,344,0,420,4096,190084,18222
1,0,345,0,4090,4096,199636,38310
1,0,346,0,4096,4096,198656,37516
1,0,347,0,4089,4096,199552,37357
1,0,348,0,4073,4096,202570,38370
1,0,349,0,4090,4096,200554,37854
1,0,350,0,4087,4096,200318,37708
1,0,351,0,4089,4096,200717,37764
1,0,352,0,4102,4096,198984,37379
1,0,353,0,4093,4096,199214,37703
1,0,354,0,4092,4096,199155,37625
1,0,355,0,4079,4096,198188,38673
1,0,356,0,4077,4096,200492,38230
1,0,357,0,4088,4096,200961,37780
1,0,358,0,4095,4096,200153,37299
1,0,359,0,4088,4096,199604,37654
1,0,360,0,4090,4096,198486,37531
1,0,361,0,4083,4096,198560,36883
1,0,362,0,4081,4096,199858,37579
1,0,363,0,4104,4096,202030,38414
1,0,364,0,4083,4096,200370,37334
1,0,365,0,4096,4096,199434,37173
1,0,366,0,4080,4096,199191,37061
1,0,367,0,4051,4096,203027,39330
1,0,368,0,433,4096,166820,18502
1,0,369,0,4098,4096,201173,38262
1,0,370,0,4083,4096,200760,38474
1,0,371,0,4094,4096,200246,37588
1,0,372,0,4082,4096,201550,37965
1,0,373,0,4086,4096,199776,37693
1,0,374,0,4098,4096,199449,37314
1,0,375,0,4099,4096,214996,37192
1,0,376,0,4088,4096,199957,37113
1,0,377,0,4085,4096,199130,37407
1,0,378,0,4098,4096,201147,37436
1,0,379,0,4062,4096,204406,38676
1,0,380,0,4095,4096,198748,37279
1,0,381,0,4096,4096,198651,36973
1,0,382,0,4087,4096,198277,36995
1,0,383,0,4098,4096,202134,37576
1,0,384,0,4094,4096,199825,37713
1,0,385,0,4089,4096,199564,37483
1,0,386,0,4091,4096,199068,37551
1,0,387,0,4099,4096,199331,37073
1,0,388,0,4085,4096,199711,37121
1,0,389,0,4098,4096,200004,37615
1,0,390,0,4089,4096,201539,37393
1,0,391,0,4097,4096,199921,37557
1,0,392,0,4077,4096,200885,38201
1,0,393,0,4089,4096,199671,37709
1,0,394,0,4099,4096,200267,38639
1,0,395,0,4099,4096,200925,37243
1,0,396,0,4098,4096,201187,37597
1,0,397,0,4082,4096,201390,37348
1,0,398,0,4071,4096,200470,37816
1,0,399,0,4092,4096,198198,37987
1,0,400,0,4089,4096,198820,36751
1,0,401,0,4156,4096,195853,35318
1,0,402,0,4090,4096,201115,37898
1,0,403,0,4080,4096,200274,38616
1,0,404,0,4096,4096,202285,37669
1,0,405,0,4094,4096,196801,37130
1,0,406,0,4086,4096,213833,38430
1,0,407,0,454,4096,163821,18405
1,0,408,0,4085,4096,200822,38227
1,0,409,0,4085,4096,200481,37253
1,0,410,0,4089,4096,201862,37986
1,0,411,0,4087,4096,201633,37873
1,0,412,0,4092,4096,199599,37382
1,0,413,0,4087,4096,197555,37515
1,0,414,0,4065,4096,208851,39384
1,0,415,0,4081,4096,199094,37522
1,0,416,0,4094,4096,198636,37224
1,0,417,0,4077,4096,200095,38516
1,0,418,0,4092,4096,200914,38009
1,0,419,0,4096,4096,200023,37698
1,0,420,0,4085,4096,199815,38007
1,0,421,0,4093,4096,197988,36601
1,0,422,0,4102,4096,199858,37383
1,0,423,0,4078,4096,203162,37899
1,0,424,0,4090,4096,198382,37449
1,0,425,0,4091,4096,199647,37235
1,0,426,0,4087,4096,202568,38144
1,0,427,0,4094,4096,199899,37548
1,0,428,0,4082,4096,200984,37856
1,0,429,0,4102,4096,200537,37722
1,0,430,0,4090,4096,198245,38005
1,0,431,0,4084,4096,201641,37759
1,0,432,0,4085,4096,199622,37114
1,0,433,0,4096,4096,199814,38639
1,0,434,0,4088,4096,201308,37829
1,0,435,0,4081,4096,198901,37511
1,0,436,0,4070,4096,198552,37588
1,0,437,0,4085,4096,212649,37327
1,0,438,0,4099,4096,203032,36133
1,0,439,0,439,4096,177638,26763
1,0,440,0,4088,4096,197924,37387
1,0,441,0,4095,4096,199492,36985
1,0,442,0,4085,4096,202005,38087
1,0,443,0,3884,4096,205086,40898
1,0,444,0,4089,4096,199153,37535
1,0,445,0,3895,4096,222383,38796
1,0,446,0,4091,4096,188319,35154
1,0,447,0,4098,4096,188121,35451
1,0,448,0,4090,4096,188330,35413
1,0,449,0,4084,4096,188072,35704
1,0,450,0,4075,4096,186233,34807
1,0,451,0,3900,4096,190530,36973
1,0,452,0,4097,4096,187315,35187
1,0,453,0,4082,4096,203133,34621
1,0,454,0,4083,4096,187415,34885
1,0,455,0,401,4096,151793,23715
1,0,456,0,4092,4096,186275,35396
1,0,457,0,3983,4096,194766,37394
1,0,458,0,4095,4096,213529,37214
1,0,459,0,4092,4096,200222,37280
1,0,460,0,4079,4096,200811,37896
1,0,461,0,4090,4096,202074,38007
1,0,462,0,4094,4096,200454,38043
1,0,463,0,918,4096,260402,30817
1,0,464,0,4095,4096,188002,35027
1,0,465,0,4084,4096,189003,34857
1,0,466,0,4092,4096,187193,34816
1,0,467,0,4097,4096,186432,34854
1,0,468,0,4085,4096,185574,35190
1,0,469,0,4086,4096,187388,34957
1,0,470,0,4082,4096,187228,35009
1,0,471,0,4087,4096,188207,35454
1,0,472,0,4095,4096,187347,35332
1,0,473,0,520,4096,177758,24793
1,0,474,0,4096,4096,184184,35239
1,0,475,0,4083,4096,188513,35599
1,0,476,0,702,4096,190267,27377
1,0,477,0,152,4096,111598,17158
1,0,478,0,4095,4096,187547,35220
1,0,479,0,4076,4096,187287,35401
1,0,480,0,4088,4096,188414,35376
1,0,481,0,4104,4096,186497,34933
1,0,482,0,4112,4096,187559,34516
1,0,483,0,4094,4096,186286,34941
1,0,484,0,4090,4096,188541,35705
1,0,485,0,3820,4096,198252,37934
1,0,486,0,4039,4096,208145,36837
1,0,487,0,4088,4096,185255,34885
1,0,488,0,623,4096,196436,19895
1,0,489,0,4094,4096,186935,35161
1,0,490,0,4088,4096,188452,35427
1,0,491,0,4093,4096,185515,35267
1,0,492,0,4086,4096,186698,35214
1,0,493,0,4089,4096,187730,34846
1,0,494,0,4085,4096,187969,34822
1,0,495,0,4098,4096,185257,35231
1,0,496,0,4086,4096,185458,35132
1,0,497,0,4162,4096,185414,32992
1,0,498,0,4096,4096,186318,36687
1,0,499,0,4095,4096,187244,35475
1,0,500,0,4094,4096,188370,35416
1,0,501,0,4094,4096,184723,35610
1,0,502,0,4091,4096,186421,35124
1,0,503,0,4075,4096,179386,37826
1,0,504,0,3875,4096,206374,40128
1,0,505,0,4091,4096,200121,38511
1,0,506,0,4096,4096,200366,38381
1,0,507,0,4083,4096,204319,35365
1,0,508,0,4086,4096,189739,34687
1,0,509,0,4106,4096,189107,35619
1,0,510,0,4081,4096,184701,34882
1,0,511,0,4082,4096,186256,34859
1,0,512,0,4073,4096,188069,34704
1,0,513,0,4087,4096,186865,36020
1,0,514,0,4099,4096,187955,36788
1,0,515,0,4055,4096,189114,36160
1,0,516,0,4095,4096,184212,34667
1,0,517,0,4089,4096,186043,34586
1,0,518,0,4087,4096,185972,34634
1,0,519,0,4081,4096,204264,35262
1,0,520,0,3875,4096,221763,42029
1,0,521,0,3812,4096,212241,40765
1,0,522,0,4040,4096,203919,39642
1,0,523,0,4102,4096,201045,38641
1,0,524,0,408,4096,167537,25079
1,0,525,0,4088,4096,201181,37717
1,0,526,0,4099,4096,200076,37547
1,0,527,0,4085,4096,198913,36973
1,0,528,0,4081,4096,199507,37443
1,0,529,0,4093,4096,198323,37213
1,0,530,0,4084,4096,203110,38496
1,0,531,0,454,4096,165447,25463
1,0,532,0,4090,4096,199888,37842
1,0,533,0,4094,4096,198243,37653
1,0,534,0,4088,4096,212381,35363
1,0,535,0,4085,4096,187884,34978
1,0,536,0,4083,4096,188843,34924
1,0,537,0,4093,4096,186142,34788
1,0,538,0,4075,4096,187362,35547
1,0,539,0,4091,4096,187311,34938
1,0,540,0,531,4096,177609,18428
1,0,541,0,4098,4096,188379,35124
1,0,542,0,4081,4096,187643,37303
1,0,543,0,4152,4096,183573,33110
1,0,544,0,4087,4096,186833,35089
1,0,545,0,3880,4096,192709,37304
1,0,546,0,4087,4096,186111,35376
1,0,547,0,4097,4096,187891,35409
1,0,548,0,4103,4096,188612,35328
1,0,549,0,4086,4096,215264,38282
1,0,550,0,3011,4096,198849,37085
1,0,551,0,4093,4096,198114,37721
1,0,552,0,4074,4096,199495,38194
1,0,553,0,4091,4096,202069,37877
1,0,554,0,4109,4096,201729,37985
1,0,555,0,4079,4096,234282,43283
1,0,556,0,4081,4096,233101,44112
1,0,557,0,4082,4096,233832,44014
1,0,558,0,1116,4096,196637,29049
1,0,559,0,4099,4096,204317,35206
1,0,560,0,4092,4096,187147,35699
1,0,561,0,4100,4096,186571,35427
1,0,562,0,4088,4096,189202,34985
1,0,563,0,4097,4096,186436,34903
1,0,564,0,3911,4096,190781,36920
1,0,565,0,4092,4096,186685,34883
1,0,566,0,4090,4096,195529,35408
1,0,567,0,4100,4096,187096,34419
1,0,568,0,4097,4096,187493,34701
1,0,569,0,4092,4096,185914,34151
1,0,570,0,3955,4096,197606,37617
1,0,571,0,4088,4096,204342,37165
1,0,572,0,3876,4096,206456,39892
1,0,573,0,4107,4096,198798,37435
1,0,574,0,4086,4096,201912,38132
1,0,575,0,4083,4096,199197,37951
1,0,576,0,4083,4096,199810,34889
1,0,577,0,4085,4096,186710,35809
1,0,578,0,4087,4096,188306,35487
1,0,579,0,4085,4096,185075,35458
1,0,580,0,4084,4096,205732,37391
1,0,581,0,4088,4096,200442,37269
1,0,582,0,4097,4096,210723,37040
1,0,583,0,4095,4096,198318,36475
1,0,584,0,4090,4096,199372,38151
1,0,585,0,4088,4096,199623,36525
1,0,586,0,4093,4096,199274,37003
1,0,587,0,4096,4096,198855,37544
1,0,588,0,4103,4096,200946,37246
1,0,589,0,4094,4096,199425,39299
1,0,590,0,4086,4096,199745,37711
1,0,591,0,4091,4096,199118,36994
1,0,592,0,4097,4096,198731,37956
1,0,593,0,4073,4096,201061,37323
1,0,594,0,4097,4096,198252,37262
1,0,595,0,4091,4096,198530,37010
1,0,596,0,4091,4096,199843,37127
1,0,597,0,4088,4096,207426,37657
1,0,598,0,4100,4096,200922,38301
1,0,599,0,3881,4096,205654,40092
1,0,600,0,4095,4096,198004,37453
1,0,601,0,4092,4096,199595,37946
1,0,602,0,4093,4096,199395,38114
1,0,603,0,4079,4096,199581,37276
1,0,604,0,546,4096,234029,23933
1,0,605,0,4076,4096,237680,45274
1,0,606,0,4078,4096,233221,44890
1,0,607,0,4093,4096,230589,43221
1,0,608,0,4077,4096,200519,37318
1,0,609,0,4087,4096,200020,36868
1,0,610,0,4091,4096,198162,36920
1,0,611,0,4047,4096,200808,38760
1,0,612,0,4088,4096,201319,38276
1,0,613,0,4089,4096,198271,37296
1,0,614,0,4099,4096,200320,37460
1,0,615,0,4156,4096,197520,35012
1,0,616,0,4099,4096,199837,37350
1,0,617,0,4097,4096,200934,37763
1,0,618,0,4096,4096,201082,37609
1,0,619,0,4091,4096,199691,37633
1,0,620,0,4097,4096,200053,37277
1,0,621,0,4088,4096,200266,38311
1,0,622,0,4095,4096,200410,37203
1,0,623,0,4081,4096,200190,37685
1,0,624,0,4089,4096,201872,38146
1,0,625,0,4090,4096,198444,37213
1,0,626,0,4092,4096,198193,37082
1,0,627,0,4075,4096,199256,37934
1,0,628,0,4087,4096,210990,37353
1,0,629,0,3049,4096,188057,36737
1,0,630,0,4089,4096,203314,37823
1,0,631,0,2957,4096,190477,36987
1,0,632,0,4092,4096,201550,38372
1,0,633,0,4097,4096,199843,37160
1,0,634,0,4082,4096,199501,37618
1,0,635,0,4094,4096,200330,38682
1,0,636,0,433,4096,165875,18360
1,0,637,0,4104,4096,200353,37527
1,0,638,0,4086,4096,201203,38531
1,0,639,0,4099,4096,198688,37385
1,0,640,0,4101,4096,200910,36982
1,0,641,0,3985,4096,205399,40530
1,0,642,0,4098,4096,200372,37154
1,0,643,0,1117,4096,160789,29185
1,0,644,0,4100,4096,210083,38253
1,0,645,0,4079,4096,200870,37426
1,0,646,0,4095,4096,199889,37546
