trace_name,alg_name,cache_invalidation_method_compress,cache_invalidation_method_decompress,page_number,compressed_size,uncompressed_size,compression_time,decompression_time
REFERENCE_ollama,WK64,0,0,1990,4240,4096,32858,23890
REFERENCE_ollama,WK64,0,0,1991,4240,4096,32958,24592
REFERENCE_ollama,WK64,0,0,1992,728,4096,11275,9818
REFERENCE_ollama,WK64,0,0,1993,4240,4096,89305,58747
REFERENCE_ollama,WK64,0,0,1994,1216,4096,15073,13384
REFERENCE_ollama,WK64,0,0,1995,1016,4096,13978,11278
REFERENCE_ollama,WK64,0,0,1996,536,4096,6655,7422
REFERENCE_ollama,WK64,0,0,1997,4240,4096,32539,23459
REFERENCE_ollama,WK64,0,0,1998,4240,4096,81426,51222
REFERENCE_ollama,WK64,0,0,1999,4240,4096,33335,25479
REFERENCE_ollama,WK64,0,0,2000,4240,4096,32439,27391
REFERENCE_ollama,WK64,0,0,2001,4240,4096,35346,25806
REFERENCE_ollama,WK64,0,0,2002,4240,4096,34186,25492
REFERENCE_ollama,WK64,0,0,2003,4240,4096,34466,25596
REFERENCE_ollama,WK64,0,0,2004,656,4096,9301,8513
REFERENCE_ollama,WK64,0,0,2005,1840,4096,25443,18913
REFERENCE_ollama,WK64,0,0,2006,4240,4096,35220,26247
REFERENCE_ollama,WK64,0,0,2007,4240,4096,32051,23789
REFERENCE_ollama,WK64,0,0,2008,4240,4096,33627,24472
REFERENCE_ollama,WK64,0,0,2009,3280,4096,68914,45438
REFERENCE_ollama,WK64,0,0,2010,1272,4096,13039,11024
REFERENCE_ollama,WK64,0,0,2011,4240,4096,33261,24935
REFERENCE_ollama,WK64,0,0,2012,4240,4096,35303,25893
REFERENCE_ollama,WK64,0,0,2013,4240,4096,31146,23147
REFERENCE_ollama,WK64,0,0,2014,4240,4096,34507,25961
REFERENCE_ollama,WK64,0,0,2015,528,4096,6694,6166
REFERENCE_ollama,WK64,0,0,2016,4240,4096,35949,27066
REFERENCE_ollama,WK64,0,0,2017,4240,4096,33545,23459
